name,invariant,level,match,target
Exp1/dtw,v,2,-85316.28898691636,0
Exp1/dtw,v,1,-90472.02824533953,0
Exp1/dtw,v,0,-133761.375549977,0
Exp1/dtw,i,1,-148642.8446411968,0
Exp1/dtw,a,0,-151053.69346748566,0
Exp1/dtw,t,1,-169854.1867032689,0
Exp1/dtw,st,1,-171297.33393017625,0
Exp1/dtw,n2,0,-176432.69308360142,0
Exp1/dtw,w,0,-181637.4636447163,0
Exp1/dtw,w,0,-193204.2108489613,0
Exp1/dtw,n1,2,-198580.42519623006,0
Exp1/dtw,n2,1,-208357.02578430812,0
Exp1/dtw,t,2,-213054.19659527356,0
Exp1/dtw,n1,1,-215844.07882720063,0
Exp1/dtw,t,0,-217913.53826444177,0
Exp1/dtw,a,1,-229846.37209321122,0
Exp1/dtw,st,2,-237055.3887477477,0
Exp1/dtw,w,2,-253336.91810825435,0
Exp1/dtw,n1,0,-262682.84518648515,0
Exp1/dtw,w,2,-265785.93864540337,0
Exp1/dtw,n2,2,-272271.3583937414,0
Exp1/dtw,w,1,-281250.4794905885,0
Exp1/dtw,t,1,-283431.35843900614,0
Exp1/dtw,w,1,-289534.0932813515,0
Exp1/dtw,s,1,-300693.5567767968,0
Exp1/dtw,st,0,-307553.44507909555,0
Exp1/dtw,t,0,-310202.69064120104,0
Exp1/dtw,s,0,-315262.87515773415,0
Exp1/dtw,s,2,-319758.8720213993,0
Exp1/dtw,t,2,-329594.7377031233,0
Exp1/dtw,a,2,-408060.71428303677,0
Exp1/dtw,v,2,-76565.65805410294,1
Exp1/dtw,v,1,-106951.20022821121,1
Exp1/dtw,a,0,-144812.01213197893,1
Exp1/dtw,i,1,-157579.2400125027,1
Exp1/dtw,w,2,-174311.01833538356,1
Exp1/dtw,s,2,-178459.0011108585,1
Exp1/dtw,n2,0,-181006.21856293955,1
Exp1/dtw,s,0,-182654.21941445302,1
Exp1/dtw,n1,0,-184373.77313951016,1
Exp1/dtw,n1,2,-193798.94339523368,1
Exp1/dtw,w,0,-194736.33229037988,1
Exp1/dtw,v,0,-198493.96381676465,1
Exp1/dtw,w,0,-204485.20834250585,1
Exp1/dtw,a,1,-205418.90526272872,1
Exp1/dtw,s,1,-207692.63251472413,1
Exp1/dtw,n2,2,-215062.87978871207,1
Exp1/dtw,t,1,-217359.09436428698,1
Exp1/dtw,st,1,-222187.4783819162,1
Exp1/dtw,w,1,-256487.16401100793,1
Exp1/dtw,st,2,-257874.7756564026,1
Exp1/dtw,t,2,-269267.00431580725,1
Exp1/dtw,t,2,-283606.9122998574,1
Exp1/dtw,n1,1,-296027.09634531796,1
Exp1/dtw,n2,1,-305023.6016180201,1
Exp1/dtw,st,0,-307167.6938882492,1
Exp1/dtw,w,2,-313688.3084514085,1
Exp1/dtw,t,1,-315791.8755310682,1
Exp1/dtw,w,1,-321453.94056486164,1
Exp1/dtw,t,0,-323988.5216974812,1
Exp1/dtw,t,0,-340277.8436169432,1
Exp1/dtw,a,2,-421664.52877763135,1
Exp1/dtw,v,2,-55864.58552982284,2
Exp1/dtw,v,1,-79558.43846868552,2
Exp1/dtw,t,0,-106559.68689729825,2
Exp1/dtw,n2,2,-132992.99785596516,2
Exp1/dtw,t,1,-134801.37696113094,2
Exp1/dtw,n1,1,-140886.29482771785,2
Exp1/dtw,w,0,-143606.12754318866,2
Exp1/dtw,i,1,-153030.81651918413,2
Exp1/dtw,v,0,-154454.4163641837,2
Exp1/dtw,w,2,-155662.40727124645,2
Exp1/dtw,t,1,-160103.0591086992,2
Exp1/dtw,a,0,-162757.89908846465,2
Exp1/dtw,s,1,-166207.09653454853,2
Exp1/dtw,w,1,-168485.14065094307,2
Exp1/dtw,st,2,-169994.03849037597,2
Exp1/dtw,n1,2,-172874.69178263829,2
Exp1/dtw,s,0,-174410.65155699683,2
Exp1/dtw,a,1,-175849.2794005758,2
Exp1/dtw,t,2,-181591.3342624218,2
Exp1/dtw,s,2,-187013.55318387214,2
Exp1/dtw,w,1,-188431.60758654497,2
Exp1/dtw,st,0,-196258.22910765762,2
Exp1/dtw,t,0,-197053.07900640054,2
Exp1/dtw,w,2,-197761.1370430809,2
Exp1/dtw,n1,0,-207783.51186887518,2
Exp1/dtw,t,2,-215831.60545461476,2
Exp1/dtw,n2,0,-223874.23595935875,2
Exp1/dtw,st,1,-227170.5617872928,2
Exp1/dtw,w,0,-258705.50912858677,2
Exp1/dtw,n2,1,-274834.3467434196,2
Exp1/dtw,a,2,-285185.4259093252,2
Exp1/dtw,v,1,-59538.077486330134,3
Exp1/dtw,v,2,-70079.70886606886,3
Exp1/dtw,w,0,-117603.46261583896,3
Exp1/dtw,w,2,-131737.10578497133,3
Exp1/dtw,st,2,-141013.91795631332,3
Exp1/dtw,s,1,-141979.54381600185,3
Exp1/dtw,i,1,-142304.7341457606,3
Exp1/dtw,w,2,-153056.7499397819,3
Exp1/dtw,s,2,-158548.44336428895,3
Exp1/dtw,n1,2,-170617.8206169973,3
Exp1/dtw,t,2,-173806.44335163728,3
Exp1/dtw,a,0,-174392.23685122648,3
Exp1/dtw,n1,0,-180659.42521195867,3
Exp1/dtw,st,0,-183870.73329943506,3
Exp1/dtw,s,0,-193984.54125588413,3
Exp1/dtw,n1,1,-196107.9378832151,3
Exp1/dtw,v,0,-203617.5927176049,3
Exp1/dtw,w,0,-240641.27737713643,3
Exp1/dtw,st,1,-241870.89273826077,3
Exp1/dtw,a,1,-244134.79019723693,3
Exp1/dtw,n2,1,-244848.06267712108,3
Exp1/dtw,w,1,-252235.53549298586,3
Exp1/dtw,t,1,-255261.8781208136,3
Exp1/dtw,t,2,-259180.20149444437,3
Exp1/dtw,n2,0,-270587.13434266497,3
Exp1/dtw,n2,2,-282546.0546514988,3
Exp1/dtw,w,1,-286229.13751141535,3
Exp1/dtw,t,1,-290753.5577696751,3
Exp1/dtw,t,0,-296236.3039440816,3
Exp1/dtw,t,0,-316793.07366009837,3
Exp1/dtw,a,2,-426809.48258156865,3
Exp1/dtw,v,2,-49327.55081052134,4
Exp1/dtw,v,1,-89845.56350715915,4
Exp1/dtw,v,0,-96298.17706878061,4
Exp1/dtw,n2,1,-119964.54374492273,4
Exp1/dtw,a,1,-127066.27608799381,4
Exp1/dtw,w,0,-127553.97342213524,4
Exp1/dtw,st,0,-155005.03752524176,4
Exp1/dtw,w,2,-155144.39161515568,4
Exp1/dtw,a,0,-155603.66292444852,4
Exp1/dtw,a,2,-167456.02489117862,4
Exp1/dtw,t,0,-172676.31757560789,4
Exp1/dtw,n2,2,-172690.1617120882,4
Exp1/dtw,n1,0,-176558.89892646085,4
Exp1/dtw,n2,0,-182927.27831311568,4
Exp1/dtw,t,2,-184020.90348860007,4
Exp1/dtw,w,1,-187421.78761331967,4
Exp1/dtw,n1,1,-192093.86337179077,4
Exp1/dtw,t,1,-218022.54177222712,4
Exp1/dtw,w,2,-221837.08656039322,4
Exp1/dtw,t,0,-230350.02228575823,4
Exp1/dtw,w,0,-234327.0390373814,4
Exp1/dtw,st,2,-238994.83031555338,4
Exp1/dtw,s,0,-241555.85945559182,4
Exp1/dtw,t,2,-249592.51753178795,4
