name,invariant,level,match,target
Exp1/mse,st,0,-7.128366991863846,0
Exp1/mse,w,1,-7.3558939151702525,0
Exp1/mse,st,1,-17.621579230305233,0
Exp1/mse,w,0,-18.65332998504953,0
Exp1/mse,w,2,-20.105696837521943,0
Exp1/mse,n2,0,-21.71133609103195,0
Exp1/mse,v,0,-22.87479469919829,0
Exp1/mse,st,2,-38.72467394593181,0
Exp1/mse,w,2,-66.91653150734511,0
Exp1/mse,n2,1,-81.25365343836113,0
Exp1/mse,v,1,-198.29067094995244,0
Exp1/mse,n2,2,-204.19003458801512,0
Exp1/mse,w,1,-278.66274040900447,0
Exp1/mse,n1,0,-291.3721344605271,0
Exp1/mse,a,0,-307.84215638667325,0
Exp1/mse,n1,1,-315.08892073451574,0
Exp1/mse,s,1,-370.34752531387255,0
Exp1/mse,n1,2,-438.30726005677485,0
Exp1/mse,t,0,-471.6934177184217,0
Exp1/mse,s,2,-483.8849993162581,0
Exp1/mse,v,2,-546.6865229621404,0
Exp1/mse,w,0,-626.8743060498562,0
Exp1/mse,t,2,-735.6376815966959,0
Exp1/mse,t,1,-742.5433528806258,0
Exp1/mse,t,1,-842.9855044454943,0
Exp1/mse,t,0,-857.5186135317509,0
Exp1/mse,s,0,-1030.013522481478,0
Exp1/mse,a,1,-1221.8682721474734,0
Exp1/mse,t,2,-1295.4424840755446,0
Exp1/mse,i,1,-2546.701024382722,0
Exp1/mse,a,2,-2742.1127122516396,0
Exp1/mse,st,0,-7.466430768016258,1
Exp1/mse,w,0,-17.671575775310096,1
Exp1/mse,st,1,-19.747248859705103,1
Exp1/mse,v,0,-20.501219775872062,1
Exp1/mse,n2,0,-22.387192863679605,1
Exp1/mse,w,2,-25.80008971665272,1
Exp1/mse,w,1,-35.45428966597859,1
Exp1/mse,st,2,-43.43912066146208,1
Exp1/mse,w,1,-55.31060858391153,1
Exp1/mse,s,2,-91.31832261856545,1
Exp1/mse,n2,1,-109.08440025085716,1
Exp1/mse,w,2,-155.4439283160613,1
Exp1/mse,v,1,-191.17355613042324,1
Exp1/mse,n2,2,-211.55997895575345,1
Exp1/mse,n1,1,-279.6324963839654,1
Exp1/mse,w,0,-279.66650964797356,1
Exp1/mse,n1,0,-307.82958325200076,1
Exp1/mse,a,0,-310.03209146284945,1
Exp1/mse,n1,2,-369.8494947303345,1
Exp1/mse,s,0,-493.88561975013437,1
Exp1/mse,t,2,-500.75864805601753,1
Exp1/mse,v,2,-534.8258836968699,1
Exp1/mse,s,1,-724.0183926642644,1
Exp1/mse,t,2,-870.640585950651,1
Exp1/mse,t,0,-949.4313703356448,1
Exp1/mse,t,0,-961.2676062464079,1
Exp1/mse,t,1,-967.142232055536,1
Exp1/mse,t,1,-1088.5304479355618,1
Exp1/mse,a,1,-1248.435558810764,1
Exp1/mse,i,1,-2800.41500446616,1
Exp1/mse,a,2,-2815.242925175896,1
Exp1/mse,v,0,-18.730759658674422,2
Exp1/mse,n2,0,-27.24898881265287,2
Exp1/mse,n2,1,-72.59773824399376,2
Exp1/mse,st,0,-97.57863755705166,2
Exp1/mse,w,0,-101.0587873142671,2
Exp1/mse,w,1,-110.50401362805461,2
Exp1/mse,v,1,-150.65075874490282,2
Exp1/mse,w,2,-153.47763743913399,2
Exp1/mse,st,1,-183.09818364454313,2
Exp1/mse,w,2,-188.84519816753388,2
Exp1/mse,w,1,-195.40126253569065,2
Exp1/mse,a,0,-203.03135512157104,2
Exp1/mse,s,2,-241.9007423290323,2
Exp1/mse,st,2,-253.92426165023852,2
Exp1/mse,w,0,-263.8199747473163,2
Exp1/mse,n1,1,-266.54974315006723,2
Exp1/mse,n2,2,-364.5368228140434,2
Exp1/mse,v,2,-384.91282662758255,2
Exp1/mse,n1,0,-437.403212967698,2
