president,pres,organization,approve,disapprove,noopinion,samplesize,pop,begdate,enddate,notes,termMonths
Roosevelt,FDR,Gallup,60,40,0,NA,,8/4/1937,8/9/1937,,6.603696099
Roosevelt,FDR,Gallup,63,37,0,NA,,10/30/1937,11/4/1937,,9.46201232
Roosevelt,FDR,Gallup,54,46,0,NA,,5/22/1938,5/27/1938,,16.16427105
Roosevelt,FDR,Gallup,54,46,0,NA,,5/29/1938,6/4/1938,,16.42710472
Roosevelt,FDR,Gallup,52,40,7,NA,,7/4/1938,7/11/1938,,17.64271047
Roosevelt,FDR,Gallup,53,41,6,NA,,8/12/1938,8/17/1938,,18.85831622
Roosevelt,FDR,Gallup,50,44,7,NA,,8/18/1938,8/23/1938,,19.05544148
Roosevelt,FDR,Gallup,52,37,11,NA,,9/25/1938,9/30/1938,,20.30390144
Roosevelt,FDR,Gallup,54,38,8,NA,,10/3/1938,10/8/1938,,20.56673511
Roosevelt,FDR,Gallup,50,43,7,NA,,10/10/1938,10/15/1938,,20.79671458
Roosevelt,FDR,Gallup,52,41,7,NA,,10/19/1938,10/24/1938,,21.09240246
Roosevelt,FDR,Gallup,54,46,0,NA,,11/7/1938,11/12/1938,,21.71663244
Roosevelt,FDR,Gallup,56,45,0,NA,,11/16/1938,11/21/1938,,22.01232033
Roosevelt,FDR,Gallup,55,39,6,NA,,11/24/1938,11/29/1938,,22.275154
Roosevelt,FDR,Gallup,53,38,9,NA,,12/4/1938,12/9/1938,,22.6036961
Roosevelt,FDR,Gallup,58,42,0,NA,,12/25/1938,12/30/1938,,23.2936345
Roosevelt,FDR,Gallup,58,42,0,NA,,1/9/1939,1/14/1939,,23.78644764
Roosevelt,FDR,Gallup,55,38,7,NA,,1/12/1939,1/17/1939,,23.88501027
Roosevelt,FDR,Gallup,59,37,4,NA,,1/22/1939,1/27/1939,,24.21355236
Roosevelt,FDR,Gallup,51,39,10,NA,,2/24/1939,3/1/1939,,25.29774127
Roosevelt,FDR,Gallup,56,37,8,NA,,3/4/1939,3/10/1939,,25.59342916
Roosevelt,FDR,Gallup,56,39,6,NA,,3/10/1939,3/15/1939,,25.75770021
Roosevelt,FDR,Gallup,56,38,5,NA,,3/23/1939,3/28/1939,,26.18480493
Roosevelt,FDR,Gallup,54,40,7,NA,,4/2/1939,4/7/1939,,26.51334702
Roosevelt,FDR,Gallup,53,40,8,NA,,4/8/1939,4/13/1939,,26.71047228
Roosevelt,FDR,Gallup,55,41,4,NA,,4/21/1939,4/26/1939,,27.137577
Roosevelt,FDR,Gallup,56,36,9,NA,,5/4/1939,5/9/1939,,27.56468172
Roosevelt,FDR,Gallup,57,38,5,NA,,5/12/1939,5/17/1939,,27.8275154
Roosevelt,FDR,Gallup,55,37,9,NA,,5/28/1939,6/3/1939,,28.38603696
Roosevelt,FDR,Gallup,55,38,7,NA,,6/9/1939,6/14/1939,,28.74743326
Roosevelt,FDR,Gallup,52,42,6,NA,,6/18/1939,6/23/1939,,29.04312115
Roosevelt,FDR,Gallup,54,39,7,NA,,7/1/1939,7/6/1939,,29.47022587
Roosevelt,FDR,Gallup,55,38,7,NA,,7/19/1939,7/25/1939,,30.09445585
Roosevelt,FDR,Gallup,53,41,7,NA,,7/28/1939,8/2/1939,,30.35728953
Roosevelt,FDR,Gallup,57,43,0,NA,,8/10/1939,8/15/1939,,30.78439425
Roosevelt,FDR,Gallup,48,43,8,NA,,8/18/1939,8/24/1939,,31.08008214
Roosevelt,FDR,Gallup,54,37,9,NA,,9/1/1939,9/6/1939,,31.50718686
Roosevelt,FDR,Gallup,61,39,0,NA,,9/13/1939,9/18/1939,,31.90143737
Roosevelt,FDR,Gallup,50,36,14,NA,,9/21/1939,9/26/1939,,32.16427105
Roosevelt,FDR,Gallup,58,36,5,NA,,9/24/1939,9/29/1939,,32.26283368
Roosevelt,FDR,Gallup,65,35,0,NA,,10/5/1939,10/10/1939,,32.62422998
Roosevelt,FDR,Gallup,57,36,7,NA,,10/20/1939,10/25/1939,,33.11704312
Roosevelt,FDR,Gallup,63,37,0,NA,,10/26/1939,10/31/1939,,33.31416838
Roosevelt,FDR,Gallup,59,35,6,NA,,11/10/1939,11/15/1939,,33.80698152
Roosevelt,FDR,Gallup,56,38,6,NA,,11/17/1939,11/22/1939,,34.03696099
Roosevelt,FDR,Gallup,57,35,8,NA,,12/2/1939,12/7/1939,,34.52977413
Roosevelt,FDR,Gallup,55,38,8,NA,,12/14/1939,12/19/1939,,34.92402464
Roosevelt,FDR,Gallup,58,35,7,NA,,12/24/1939,12/29/1939,,35.25256674
Roosevelt,FDR,Gallup,64,37,0,NA,,1/13/1940,1/18/1940,,35.90965092
