president,pres,organization,approve,disapprove,noopinion,samplesize,pop,begdate,enddate,notes,termMonths
Roosevelt,FDR,Gallup,59,35,7,NA,,1/21/1940,1/27/1940,,36.20533881
Roosevelt,FDR,Gallup,61,34,5,NA,,2/2/1940,2/7/1940,,36.56673511
Roosevelt,FDR,Gallup,64,36,0,NA,,2/8/1940,2/13/1940,,36.76386037
Roosevelt,FDR,Gallup,60,35,5,NA,,2/22/1940,2/27/1940,,37.2238193
Roosevelt,FDR,Gallup,59,35,7,NA,,3/15/1940,3/20/1940,,37.94661191
Roosevelt,FDR,Gallup,54,40,7,NA,,3/27/1940,4/2/1940,,38.37371663
Roosevelt,FDR,Gallup,56,38,6,NA,,4/5/1940,4/10/1940,,38.63655031
Roosevelt,FDR,Gallup,57,36,7,NA,,4/11/1940,4/16/1940,,38.83367556
Roosevelt,FDR,Gallup,65,28,7,NA,,5/18/1940,5/23/1940,,40.04928131
Roosevelt,FDR,Gallup,61,32,7,NA,,6/1/1940,6/6/1940,,40.50924025
Roosevelt,FDR,Gallup,58,36,6,NA,,6/27/1940,7/3/1940,,41.3963039
Roosevelt,FDR,Gallup,64,26,9,NA,,1/11/1941,1/16/1941,,47.86858316
Roosevelt,FDR,Gallup,68,26,6,NA,,2/16/1941,2/21/1941,,49.0513347
Roosevelt,FDR,Gallup,69,26,5,NA,,2/28/1941,3/6/1941,,49.47843943
Roosevelt,FDR,Gallup,68,26,6,NA,,3/9/1941,3/14/1941,,49.7412731
Roosevelt,FDR,Gallup,68,25,7,NA,,3/21/1941,3/26/1941,,50.13552361
Roosevelt,FDR,Gallup,69,25,6,NA,,4/10/1941,4/15/1941,,50.7926078
Roosevelt,FDR,Gallup,62,32,7,NA,,4/27/1941,5/1/1941,,51.31827515
Roosevelt,FDR,Gallup,72,24,4,NA,,5/8/1941,5/13/1941,,51.71252567
Roosevelt,FDR,Gallup,72,22,6,NA,,5/31/1941,6/4/1941,,52.43531828
Roosevelt,FDR,Gallup,72,23,5,NA,,6/9/1941,6/14/1941,,52.76386037
Roosevelt,FDR,Gallup,68,24,8,NA,,6/26/1941,7/1/1941,,53.32238193
Roosevelt,FDR,Gallup,70,24,7,NA,,7/24/1941,7/29/1941,,54.24229979
Roosevelt,FDR,Gallup,66,25,9,NA,,7/31/1941,8/4/1941,,54.43942505
Roosevelt,FDR,Gallup,73,20,7,NA,,8/7/1941,8/12/1941,,54.70225873
Roosevelt,FDR,Gallup,70,24,5,NA,,9/19/1941,9/24/1941,,56.11498973
Roosevelt,FDR,Gallup,73,20,8,NA,,11/27/1941,12/2/1941,,58.38193018
Roosevelt,FDR,Gallup,84,9,7,NA,,1/8/1942,1/13/1942,,59.76180698
Roosevelt,FDR,Gallup,84,10,6,NA,,1/25/1942,1/31/1942,,60.35318275
Roosevelt,FDR,Gallup,79,14,8,NA,,2/25/1942,3/2/1942,,61.33880903
Roosevelt,FDR,Gallup,78,13,9,NA,,3/12/1942,3/17/1942,,61.83162218
Roosevelt,FDR,Gallup,78,13,9,NA,,4/17/1942,4/23/1942,,63.04722793
Roosevelt,FDR,Gallup,81,12,7,NA,,5/1/1942,5/7/1942,,63.50718686
Roosevelt,FDR,Gallup,80,14,6,NA,,6/11/1942,6/17/1942,,64.85420945
Roosevelt,FDR,Gallup,79,13,8,NA,,7/1/1942,7/7/1942,,65.51129363
Roosevelt,FDR,Gallup,70,16,14,NA,,8/15/1942,8/20/1942,,66.95687885
Roosevelt,FDR,Gallup,77,15,8,NA,,8/27/1942,9/1/1942,,67.35112936
Roosevelt,FDR,Gallup,75,19,6,NA,,9/5/1942,9/10/1942,,67.64681725
Roosevelt,FDR,Gallup,70,20,10,NA,,10/29/1942,11/3/1942,,69.42094456
Roosevelt,FDR,Gallup,72,19,9,NA,,11/21/1942,11/26/1942,,70.17659138
Roosevelt,FDR,Gallup,75,15,10,NA,,1/9/1943,1/14/1943,,71.78644764
Roosevelt,FDR,Gallup,75,17,8,NA,,1/29/1943,2/3/1943,,72.44353183
Roosevelt,FDR,Gallup,72,19,9,NA,,3/26/1943,3/31/1943,,74.28336756
Roosevelt,FDR,Gallup,66,24,10,NA,,12/17/1943,12/22/1943,,83.02258727
Truman,HST,Gallup,87,3,10,NA,,6/1/1945,6/5/1945,,4.468172485
Truman,HST,Gallup,82,9,9,NA,,10/5/1945,10/10/1945,,8.640657084
Truman,HST,Gallup,75,14,11,NA,,11/2/1945,11/7/1945,,9.560574949
Truman,HST,Gallup,63,22,15,NA,,1/5/1946,1/10/1946,,11.66324435
Truman,HST,Gallup,49,38,13,NA,,2/28/1946,3/5/1946,,13.43737166
Truman,HST,Gallup,51,33,16,NA,,3/29/1946,4/3/1946,,14.39014374
Truman,HST,Gallup,45,42,13,NA,,6/1/1946,6/6/1946,,16.49281314
Truman,HST,Gallup,43,45,12,NA,,6/14/1946,6/19/1946,,16.91991786
Truman,HST,Gallup,33,52,15,NA,,9/13/1946,9/18/1946,,19.90965092
Truman,HST,Gallup,34,53,13,NA,,11/15/1946,11/21/1946,,22.01232033
Truman,HST,Gallup,35,47,18,NA,,12/13/1946,12/18/1946,,22.89938398
Truman,HST,Gallup,48,39,13,NA,,1/17/1947,1/22/1947,,24.04928131
Truman,HST,Gallup,60,23,17,NA,,3/14/1947,3/19/1947,,25.88911704
Truman,HST,Gallup,63,21,16,NA,,3/28/1947,4/2/1947,,26.34907598
Truman,HST,Gallup,57,25,18,NA,,4/25/1947,4/30/1947,,27.26899384
Truman,HST,Gallup,65,24,11,NA,,5/23/1947,5/28/1947,,28.1889117
Truman,HST,Gallup,55,31,14,NA,,6/20/1947,6/25/1947,,29.10882957
Truman,HST,Gallup,61,28,12,NA,,7/4/1947,7/9/1947,,29.5687885
Truman,HST,Gallup,55,29,16,NA,,9/12/1947,9/17/1947,,31.86858316
Truman,HST,Gallup,54,33,13,NA,,11/28/1947,12/2/1947,,34.36550308
Truman,HST,Gallup,50,34,17,NA,,1/2/1948,1/7/1948,,35.54825462
Truman,HST,Gallup,36,50,14,NA,,4/9/1948,4/14/1948,,38.76796715
Truman,HST,Gallup,39,47,14,NA,,5/28/1948,6/2/1948,,40.37782341
Truman,HST,Gallup,39,46,16,NA,,6/18/1948,6/24/1948,,41.10061602
Truman,HST,Gallup,69,17,14,NA,,1/7/1949,1/12/1949,,47.73716632
Truman,HST,Gallup,57,24,19,NA,,3/6/1949,3/11/1949,,49.64271047
Truman,HST,Gallup,50,32,18,NA,,5/2/1949,5/8/1949,,51.54825462
Truman,HST,Gallup,57,26,17,NA,,6/11/1949,6/14/1949,,52.76386037
Truman,HST,Gallup,46,38,16,NA,,9/3/1949,9/9/1949,,55.62217659
Truman,HST,Gallup,51,31,18,NA,,9/25/1949,9/30/1949,,56.31211499
Truman,HST,Gallup,45,40,15,NA,,1/8/1950,1/13/1950,,59.76180698
Truman,HST,Gallup,37,44,19,NA,,2/26/1950,3/3/1950,,61.37166324
Truman,HST,Gallup,41,38,21,NA,,5/4/1950,5/9/1950,,63.57289528
Truman,HST,Gallup,37,47,16,NA,,6/4/1950,6/9/1950,,64.59137577
Truman,HST,Gallup,46,40,15,NA,,7/9/1950,7/14/1950,,65.7412731
Truman,HST,Gallup,39,45,16,NA,,7/30/1950,8/4/1950,,66.4312115
Truman,HST,Gallup,43,32,25,NA,,8/20/1950,8/25/1950,,67.1211499
Truman,HST,Gallup,35,47,18,NA,,9/17/1950,9/22/1950,,68.04106776
Truman,HST,Gallup,35,50,15,NA,,10/1/1950,10/6/1950,,68.50102669
Truman,HST,Gallup,43,36,21,NA,,10/8/1950,10/13/1950,,68.73100616
Truman,HST,Gallup,41,46,14,NA,,10/20/1950,10/25/1950,,69.12525667
Truman,HST,Gallup,33,53,13,NA,,12/3/1950,12/8/1950,,70.57084189
Truman,HST,Gallup,36,49,15,NA,,1/1/1951,1/5/1951,,71.49075975
Truman,HST,Gallup,26,60,14,NA,,2/4/1951,2/9/1951,,72.64065708
Truman,HST,Gallup,27,59,14,NA,,3/4/1951,3/9/1951,,73.56057495
Truman,HST,Gallup,28,57,15,NA,,3/26/1951,3/31/1951,,74.28336756
Truman,HST,Gallup,24,54,20,NA,,4/16/1951,4/21/1951,,74.97330595
Truman,HST,Gallup,24,63,12,NA,,5/19/1951,5/24/1951,,76.05749487
Truman,HST,Gallup,25,59,16,NA,,6/16/1951,6/21/1951,,76.97741273
Truman,HST,Gallup,29,54,17,NA,,7/8/1951,7/13/1951,,77.70020534
Truman,HST,Gallup,31,57,12,NA,,8/3/1951,8/8/1951,,78.55441478
Truman,HST,Gallup,32,54,14,NA,,9/21/1951,9/26/1951,,80.16427105
Truman,HST,Gallup,29,55,16,NA,,10/14/1951,10/19/1951,,80.91991786
Truman,HST,Gallup,23,61,16,NA,,11/11/1951,11/16/1951,,81.83983573
Truman,HST,Gallup,23,67,9,NA,,1/6/1952,1/11/1952,,83.67967146
Truman,HST,Gallup,25,62,13,NA,,1/20/1952,1/25/1952,,84.13963039
Truman,HST,Gallup,22,65,13,NA,,2/9/1952,2/14/1952,,84.79671458
Truman,HST,Gallup,28,59,13,NA,,4/13/1952,4/18/1952,,86.89938398
Truman,HST,Gallup,27,59,13,NA,,5/11/1952,5/16/1952,,87.81930185
Truman,HST,Gallup,31,59,10,NA,,5/30/1952,6/4/1952,,88.44353183
Truman,HST,Gallup,32,58,10,NA,,6/15/1952,6/20/1952,,88.96919918
Truman,HST,Gallup,29,59,13,NA,,7/13/1952,7/18/1952,,89.88911704
Truman,HST,Gallup,33,55,13,NA,,10/3/1952,10/10/1952,,92.64887064
Truman,HST,Gallup,32,55,13,NA,,10/9/1952,10/14/1952,,92.78028747
Truman,HST,Gallup,32,56,11,NA,,12/11/1952,12/16/1952,,94.85010267
Eisenhower,IKE,Gallup,68,7,25,NA,,2/1/1953,2/5/1953,,0.525667351
Eisenhower,IKE,Gallup,67,8,25,NA,,2/22/1953,2/27/1953,,1.248459959
Eisenhower,IKE,Gallup,74,8,18,NA,,3/28/1953,4/2/1953,,2.36550308
Eisenhower,IKE,Gallup,73,10,16,NA,,4/19/1953,4/24/1953,,3.088295688
Eisenhower,IKE,Gallup,74,10,16,NA,,5/9/1953,5/14/1953,,3.745379877
Eisenhower,IKE,Gallup,69,15,16,NA,,7/4/1953,7/9/1953,,5.585215606
Eisenhower,IKE,Gallup,73,13,14,NA,,7/25/1953,7/30/1953,,6.275154004
Eisenhower,IKE,Gallup,74,14,12,NA,,8/15/1953,8/20/1953,,6.965092402
Eisenhower,IKE,Gallup,61,20,19,NA,,9/12/1953,9/17/1953,,7.885010267
Eisenhower,IKE,Gallup,65,19,16,NA,,10/9/1953,10/14/1953,,8.772073922
Eisenhower,IKE,Gallup,61,26,13,NA,,11/1/1953,11/5/1953,,9.49486653
Eisenhower,IKE,Gallup,59,25,16,NA,,11/19/1953,11/24/1953,,10.11909651
Eisenhower,IKE,Gallup,69,22,9,NA,,12/11/1953,12/16/1953,,10.84188912
Eisenhower,IKE,Gallup,71,19,10,NA,,1/9/1954,1/14/1954,,11.79466119
Eisenhower,IKE,Gallup,70,17,13,NA,,1/28/1954,2/2/1954,,12.41889117
Eisenhower,IKE,Gallup,67,21,12,NA,,2/25/1954,3/2/1954,,13.33880903
Eisenhower,IKE,Gallup,66,22,12,NA,,3/19/1954,3/24/1954,,14.06160164
Eisenhower,IKE,Gallup,68,21,11,NA,,4/8/1954,4/13/1954,,14.71868583
Eisenhower,IKE,Gallup,60,22,18,NA,,5/2/1954,5/7/1954,,15.50718686
Eisenhower,IKE,Gallup,61,24,15,NA,,5/21/1954,5/26/1954,,16.13141684
Eisenhower,IKE,Gallup,62,24,14,NA,,6/12/1954,6/17/1954,,16.85420945
Eisenhower,IKE,Gallup,65,21,14,NA,,7/2/1954,7/7/1954,,17.51129363
Eisenhower,IKE,Gallup,75,20,5,NA,,7/16/1954,7/21/1954,,17.97125257
Eisenhower,IKE,Gallup,67,19,14,NA,,8/5/1954,8/10/1954,,18.62833676
Eisenhower,IKE,Gallup,63,24,13,NA,,8/26/1954,8/31/1954,,19.31827515
Eisenhower,IKE,Gallup,66,21,13,NA,,9/16/1954,9/21/1954,,20.00821355
Eisenhower,IKE,Gallup,61,26,13,NA,,10/15/1954,10/20/1954,,20.96098563
Eisenhower,IKE,Gallup,57,23,20,NA,,11/11/1954,11/16/1954,,21.84804928
Eisenhower,IKE,Gallup,69,23,8,NA,,12/2/1954,12/7/1954,,22.53798768
Eisenhower,IKE,Gallup,70,18,12,NA,,12/31/1955,1/5/1955,,23.49075975
Eisenhower,IKE,Gallup,70,17,13,NA,,1/20/1955,1/25/1955,,24.14784394
Eisenhower,IKE,Gallup,73,15,12,NA,,2/10/1955,2/15/1955,,24.83778234
Eisenhower,IKE,Gallup,71,17,12,NA,,3/3/1955,3/8/1955,,25.52772074
Eisenhower,IKE,Gallup,66,21,13,NA,,3/24/1955,3/29/1955,,26.21765914
Eisenhower,IKE,Gallup,70,14,16,NA,,4/14/1955,4/19/1955,,26.90759754
Eisenhower,IKE,Gallup,68,16,16,NA,,5/12/1955,5/17/1955,,27.8275154
Eisenhower,IKE,Gallup,70,16,14,NA,,6/3/1955,6/8/1955,,28.55030801
Eisenhower,IKE,Gallup,67,15,18,NA,,6/24/1955,6/29/1955,,29.24024641
Eisenhower,IKE,Gallup,72,18,10,NA,,7/14/1955,7/19/1955,,29.8973306
Eisenhower,IKE,Gallup,76,11,13,NA,,8/4/1955,8/9/1955,,30.58726899
Eisenhower,IKE,Gallup,71,16,13,NA,,8/25/1955,8/30/1955,,31.27720739
Eisenhower,IKE,Gallup,71,16,13,NA,,9/15/1955,9/20/1955,,31.96714579
Eisenhower,IKE,Gallup,78,13,9,NA,,11/17/1955,11/22/1955,,34.03696099
Eisenhower,IKE,Gallup,75,13,12,NA,,12/8/1955,12/13/1955,,34.72689938
Eisenhower,IKE,Gallup,76,12,12,NA,,1/6/1956,1/11/1956,,35.67967146
Eisenhower,IKE,Gallup,77,14,9,NA,,1/26/1956,1/31/1956,,36.33675565
Eisenhower,IKE,Gallup,75,15,10,NA,,2/16/1956,2/21/1956,,37.02669405
Eisenhower,IKE,Gallup,72,18,10,NA,,3/8/1956,3/13/1956,,37.71663244
Eisenhower,IKE,Gallup,73,17,10,NA,,3/29/1956,4/3/1956,,38.40657084
Eisenhower,IKE,Gallup,69,19,12,NA,,4/19/1956,4/24/1956,,39.09650924
Eisenhower,IKE,Gallup,69,17,14,NA,,5/10/1956,5/15/1956,,39.78644764
Eisenhower,IKE,Gallup,71,19,10,NA,,5/31/1956,6/5/1956,,40.47638604
Eisenhower,IKE,Gallup,73,18,9,NA,,6/15/1956,6/20/1956,,40.96919918
Eisenhower,IKE,Gallup,70,20,10,NA,,7/12/1956,7/17/1956,,41.85626283
Eisenhower,IKE,Gallup,67,19,13,NA,,8/3/1956,8/8/1956,,42.57905544
Eisenhower,IKE,Gallup,75,15,10,NA,,11/22/1956,11/27/1956,,46.22587269
Eisenhower,IKE,Gallup,79,11,10,NA,,12/14/1956,12/19/1956,,46.9486653
Eisenhower,IKE,Gallup,73,14,13,NA,,1/17/1957,1/22/1957,,48.06570842
Eisenhower,IKE,Gallup,72,16,12,NA,,2/7/1957,2/12/1957,,48.75564682
Eisenhower,IKE,Gallup,72,17,11,NA,,2/28/1957,3/5/1957,,49.44558522
Eisenhower,IKE,Gallup,65,20,15,NA,,3/15/1957,3/20/1957,,49.93839836
Eisenhower,IKE,Gallup,67,21,12,NA,,4/6/1957,4/11/1957,,50.66119097
Eisenhower,IKE,Gallup,64,23,13,NA,,4/25/1957,4/30/1957,,51.28542094
Eisenhower,IKE,Gallup,62,23,15,NA,,5/17/1957,5/22/1957,,52.00821355
Eisenhower,IKE,Gallup,64,22,14,NA,,6/6/1957,6/11/1957,,52.66529774
Eisenhower,IKE,Gallup,63,23,14,NA,,6/27/1957,7/2/1957,,53.35523614
Eisenhower,IKE,Gallup,65,22,13,NA,,7/18/1957,7/23/1957,,54.04517454
Eisenhower,IKE,Gallup,59,23,18,NA,,8/8/1957,8/13/1957,,54.73511294
Eisenhower,IKE,Gallup,59,23,18,NA,,8/29/1957,9/4/1957,,55.45790554
Eisenhower,IKE,Gallup,59,26,15,NA,,9/19/1957,9/24/1957,,56.11498973
Eisenhower,IKE,Gallup,57,27,16,NA,,10/10/1957,10/15/1957,,56.80492813
Eisenhower,IKE,Gallup,58,27,15,NA,,11/7/1957,11/12/1957,,57.724846
Eisenhower,IKE,Gallup,60,30,10,NA,,1/2/1958,1/7/1958,,59.56468172
Eisenhower,IKE,Gallup,58,27,15,NA,,1/24/1958,1/29/1958,,60.28747433
Eisenhower,IKE,Gallup,54,33,13,NA,,2/14/1958,2/19/1958,,60.97741273
Eisenhower,IKE,Gallup,51,33,16,NA,,3/6/1958,3/11/1958,,61.63449692
Eisenhower,IKE,Gallup,48,36,16,NA,,3/27/1958,4/1/1958,,62.32443532
Eisenhower,IKE,Gallup,54,31,15,NA,,4/16/1958,4/21/1958,,62.98151951
Eisenhower,IKE,Gallup,53,32,15,NA,,5/7/1958,5/12/1958,,63.67145791
Eisenhower,IKE,Gallup,54,31,15,NA,,5/28/1958,6/2/1958,,64.3613963
Eisenhower,IKE,Gallup,52,32,16,NA,,7/10/1958,7/15/1958,,65.77412731
Eisenhower,IKE,Gallup,58,27,15,NA,,7/30/1958,8/4/1958,,66.4312115
Eisenhower,IKE,Gallup,56,27,17,NA,,8/20/1958,8/25/1958,,67.1211499
Eisenhower,IKE,Gallup,57,29,14,NA,,9/10/1958,9/15/1958,,67.8110883
Eisenhower,IKE,Gallup,54,28,18,NA,,9/24/1958,9/29/1958,,68.27104723
Eisenhower,IKE,Gallup,57,27,16,NA,,10/15/1958,10/20/1958,,68.96098563
Eisenhower,IKE,Gallup,52,30,18,NA,,11/7/1958,11/12/1958,,69.71663244
Eisenhower,IKE,Gallup,57,32,11,NA,,12/3/1958,12/8/1958,,70.57084189
Eisenhower,IKE,Gallup,57,27,16,NA,,1/7/1959,1/12/1959,,71.72073922
Eisenhower,IKE,Gallup,59,26,15,NA,,2/4/1959,2/9/1959,,72.64065708
Eisenhower,IKE,Gallup,58,26,16,NA,,3/4/1959,3/9/1959,,73.56057495
Eisenhower,IKE,Gallup,62,23,15,NA,,4/2/1959,4/7/1959,,74.51334702
Eisenhower,IKE,Gallup,60,24,16,NA,,4/29/1959,5/4/1959,,75.40041068
Eisenhower,IKE,Gallup,64,21,15,NA,,5/29/1959,6/3/1959,,76.38603696
Eisenhower,IKE,Gallup,62,23,15,NA,,6/25/1959,6/30/1959,,77.27310062
Eisenhower,IKE,Gallup,61,26,13,NA,,7/23/1959,7/28/1959,,78.19301848
Eisenhower,IKE,Gallup,67,20,13,NA,,8/20/1959,8/25/1959,,79.11293634
Eisenhower,IKE,Gallup,66,20,14,NA,,9/18/1959,9/23/1959,,80.06570842
Eisenhower,IKE,Gallup,67,19,14,NA,,10/16/1959,10/21/1959,,80.98562628
Eisenhower,IKE,Gallup,65,21,14,NA,,11/12/1959,11/17/1959,,81.87268994
Eisenhower,IKE,Gallup,67,18,15,NA,,12/3/1959,12/8/1959,,82.56262834
Eisenhower,IKE,Gallup,77,15,8,NA,,12/10/1959,12/15/1959,,82.7926078
Eisenhower,IKE,Gallup,66,19,15,NA,,1/6/1960,1/11/1960,,83.67967146
Eisenhower,IKE,Gallup,64,22,14,NA,,2/4/1960,2/9/1960,,84.63244353
Eisenhower,IKE,Gallup,64,22,14,NA,,3/2/1960,3/7/1960,,85.51950719
Eisenhower,IKE,Gallup,65,22,13,NA,,3/30/1960,4/4/1960,,86.43942505
Eisenhower,IKE,Gallup,62,22,16,NA,,4/28/1960,5/3/1960,,87.39219713
Eisenhower,IKE,Gallup,65,22,13,NA,,5/26/1960,5/31/1960,,88.31211499
Eisenhower,IKE,Gallup,61,24,15,NA,,6/16/1960,6/21/1960,,89.00205339
Eisenhower,IKE,Gallup,57,27,16,NA,,6/30/1960,7/5/1960,,89.46201232
Eisenhower,IKE,Gallup,49,33,18,NA,,7/16/1960,7/21/1960,,89.98767967
Eisenhower,IKE,Gallup,63,26,11,NA,,7/30/1960,8/4/1960,,90.4476386
Eisenhower,IKE,Gallup,63,24,13,NA,,8/11/1960,8/16/1960,,90.84188912
Eisenhower,IKE,Gallup,61,28,11,NA,,8/25/1960,8/30/1960,,91.30184805
Eisenhower,IKE,Gallup,58,28,14,NA,,9/9/1960,9/14/1960,,91.79466119
Eisenhower,IKE,Gallup,65,26,9,NA,,9/28/1960,10/2/1960,,92.38603696
Eisenhower,IKE,Gallup,58,31,11,NA,,10/18/1960,10/23/1960,,93.07597536
Eisenhower,IKE,Gallup,59,26,15,NA,,11/17/1960,11/22/1960,,94.06160164
Eisenhower,IKE,Gallup,59,28,13,NA,,12/8/1960,12/13/1960,,94.75154004
Kennedy,JFK,Gallup,72,6,22,1629,,2/10/1961,2/15/1961,,0.854209446
Kennedy,JFK,Gallup,73,7,20,1608,,3/10/1961,3/15/1961,,1.77412731
Kennedy,JFK,Gallup,78,6,16,1583,,4/6/1961,4/11/1961,,2.661190965
Kennedy,JFK,Gallup,83,5,12,NA,,4/28/1961,5/3/1961,,3.383983573
Kennedy,JFK,Gallup,77,8,14,1601,,5/4/1961,5/9/1961,,3.58110883
Kennedy,JFK,Gallup,75,10,15,1545,,5/17/1961,5/22/1961,,4.008213552
Kennedy,JFK,Gallup,74,11,15,1502,,5/28/1961,6/2/1961,,4.369609856
Kennedy,JFK,Gallup,72,14,14,1625,,6/23/1961,6/28/1961,,5.223819302
Kennedy,JFK,Gallup,75,12,13,1647,,7/27/1961,8/1/1961,,6.340862423
Kennedy,JFK,Gallup,76,12,12,1534,,8/24/1961,8/29/1961,,7.260780287
Kennedy,JFK,Gallup,79,10,11,1552,,9/21/1961,9/26/1961,,8.180698152
Kennedy,JFK,Gallup,77,12,10,1500,,10/19/1961,10/24/1961,,9.100616016
Kennedy,JFK,Gallup,79,9,12,1523,,11/17/1961,11/22/1961,,10.05338809
Kennedy,JFK,Gallup,78,11,12,1500,,12/7/1961,12/12/1961,,10.71047228
Kennedy,JFK,Gallup,79,10,11,1616,,1/11/1962,1/16/1962,,11.86036961
Kennedy,JFK,Gallup,78,11,10,1529,,2/8/1962,2/13/1962,,12.78028747
Kennedy,JFK,Gallup,80,12,9,1599,,3/8/1962,3/13/1962,,13.70020534
Kennedy,JFK,Gallup,78,13,10,1582,,4/6/1962,4/11/1962,,14.65297741
Kennedy,JFK,Gallup,74,16,10,1503,,5/3/1962,5/8/1962,,15.54004107
Kennedy,JFK,Gallup,71,19,10,1512,,5/31/1962,6/5/1962,,16.45995893
Kennedy,JFK,Gallup,69,19,12,1527,,6/28/1962,7/3/1962,,17.3798768
Kennedy,JFK,Gallup,66,23,11,1611,,7/26/1962,7/31/1962,,18.29979466
Kennedy,JFK,Gallup,68,20,13,1499,,8/23/1962,8/28/1962,,19.21971253
Kennedy,JFK,Gallup,63,22,15,1701,,9/20/1962,9/25/1962,,20.13963039
Kennedy,JFK,Gallup,62,25,14,1644,,10/19/1962,10/24/1962,,21.09240246
