agency,year,budget
Department of Defense--Military Programs,1979,123595483
Department of Defense--Military Programs,1980,140651072
Department of Defense--Military Programs,1981,176100246
Department of Defense--Military Programs,1982,211486416
Department of Defense--Military Programs,1983,238833746
Department of Defense--Military Programs,1984,258108410
Department of Defense--Military Programs,1985,286788688
Department of Defense--Military Programs,1986,281397695
Department of Defense--Military Programs,1987,279417059
Department of Defense--Military Programs,1988,283709593
Department of Defense--Military Programs,1989,290785446
Department of Defense--Military Programs,1990,292935812
Department of Defense--Military Programs,1991,275675604
Department of Defense--Military Programs,1992,281826731
Department of Defense--Military Programs,1993,267334159
Department of Defense--Military Programs,1994,251293784
Department of Defense--Military Programs,1995,255658000
Department of Defense--Military Programs,1996,254525000
Department of Defense--Military Programs,1997,257943000
Department of Defense--Military Programs,1998,258250000
Department of Defense--Military Programs,1999,278402000
Department of Defense--Military Programs,2000,290307000
Department of Defense--Military Programs,2001,318651000
Department of Defense--Military Programs,2002,344878000
Department of Defense--Military Programs,2003,439339000
Department of Defense--Military Programs,2004,471796000
Department of Defense--Military Programs,2005,483846000
Department of Defense--Military Programs,2006,532926000
Department of Defense--Military Programs,2007,602984000
Department of Defense--Military Programs,2008,674694000
Department of Defense--Military Programs,2009,667557000
Department of Defense--Military Programs,2010,695646000
Department of Defense--Military Programs,2011,691471000
Department of Defense--Military Programs,2012,655397000
Department of Defense--Military Programs,2013,585239000
Department of Defense--Military Programs,2014,595723000
Department of Defense--Military Programs,2015,569277000
Department of Defense--Military Programs,2016,592266000
Department of Defense--Military Programs,2017,554604000
Department of Defense--Military Programs,2018,563757000
Department of Defense--Military Programs,2019,571856000
Department of Defense--Military Programs,2020,577581000
Department of Health and Human Services,1976,-50
Department of Health and Human Services,1977,47035080
Department of Health and Human Services,1978,51890762
Department of Health and Human Services,1979,59726111
Department of Health and Human Services,1980,70002132
Department of Health and Human Services,1981,80788057
Department of Health and Human Services,1982,86307469
Department of Health and Human Services,1983,91477960
Department of Health and Human Services,1984,103715334
Department of Health and Human Services,1985,113980968
Department of Health and Human Services,1986,123588961
Department of Health and Human Services,1987,133442710
Department of Health and Human Services,1988,142396111
Department of Health and Human Services,1989,155160435
Department of Health and Human Services,1990,184673146
Department of Health and Human Services,1991,201472787
Department of Health and Human Services,1992,251439301
Department of Health and Human Services,1993,257701923
Department of Health and Human Services,1994,307699815
Department of Health and Human Services,1995,301969000
Department of Health and Human Services,1996,318434000
Department of Health and Human Services,1997,353652000
Department of Health and Human Services,1998,359307000
Department of Health and Human Services,1999,364973000
Department of Health and Human Services,2000,392122000
Department of Health and Human Services,2001,434443000
Department of Health and Human Services,2002,478236000
Department of Health and Human Services,2003,515464000
Department of Health and Human Services,2004,556305000
Department of Health and Human Services,2005,591392000
Department of Health and Human Services,2006,684554000
Department of Health and Human Services,2007,658365000
Department of Health and Human Services,2008,721693000
Department of Health and Human Services,2009,851721000
Department of Health and Human Services,2010,889608000
Department of Health and Human Services,2011,889186000
Department of Health and Human Services,2012,874458000
Department of Health and Human Services,2013,873330000
Department of Health and Human Services,2014,960955000
Department of Health and Human Services,2015,1048136000
Department of Health and Human Services,2016,1092897000
Department of Health and Human Services,2017,1114766000
Department of Health and Human Services,2018,1130445000
Department of Health and Human Services,2019,1213338000
Department of Health and Human Services,2020,1280981000
Department of the Interior,1976,688
Department of the Interior,1977,3740637
Department of the Interior,1978,4639325
Department of the Interior,1979,4766169
Department of the Interior,1980,4674060
Department of the Interior,1981,4403406
Department of the Interior,1982,3805326
Department of the Interior,1983,4951525
Department of the Interior,1984,4905717
Department of the Interior,1985,4995223
Department of the Interior,1986,4573675
Department of the Interior,1987,5265339
Department of the Interior,1988,5236646
Department of the Interior,1989,5463217
Department of the Interior,1990,6669313
Department of the Interior,1991,6855642
Department of the Interior,1992,7076797
Department of the Interior,1993,6856658
Department of the Interior,1994,7452530
Department of the Interior,1995,7512000
Department of the Interior,1996,7202000
Department of the Interior,1997,7404000
Department of the Interior,1998,8146000
Department of the Interior,1999,8097000
Department of the Interior,2000,8363000
Department of the Interior,2001,9584000
Department of the Interior,2002,10768000
Department of the Interior,2003,10416000
Department of the Interior,2004,10137000
Department of the Interior,2005,10553000
Department of the Interior,2006,9940000
Department of the Interior,2007,10333000
Department of the Interior,2008,10556000
Department of the Interior,2009,14817000
Department of the Interior,2010,12843000
Department of the Interior,2011,12279000
Department of the Interior,2012,11486000
Department of the Interior,2013,11761000
Department of the Interior,2014,11898000
Department of the Interior,2015,12297000
Department of the Interior,2016,14990000
Department of the Interior,2017,15385000
Department of the Interior,2018,15700000
Department of the Interior,2019,15290000
Department of the Interior,2020,15659000
Department of Justice,1976,0
Department of Justice,1977,2204031
Department of Justice,1978,2211817
Department of Justice,1979,2317055
Department of Justice,1980,2261109
Department of Justice,1981,2095825
Department of Justice,1982,2310365
Department of Justice,1983,2678842
Department of Justice,1984,3095709
Department of Justice,1985,3412456
Department of Justice,1986,3445738
Department of Justice,1987,4508107
Department of Justice,1988,4817560
Department of Justice,1989,5813965
Department of Justice,1990,7890546
Department of Justice,1991,8371200
Department of Justice,1992,9326373
Department of Justice,1993,9841202
Department of Justice,1994,9519465
Department of Justice,1995,11985000
Department of Justice,1996,13964000
