agency,year,budget
Corporation for Public Broadcasting,1980,152000
Corporation for Public Broadcasting,1981,162000
Corporation for Public Broadcasting,1982,172000
Corporation for Public Broadcasting,1983,137000
Corporation for Public Broadcasting,1984,137500
Corporation for Public Broadcasting,1985,150500
Corporation for Public Broadcasting,1986,159500
Corporation for Public Broadcasting,1987,200000
Corporation for Public Broadcasting,1988,214000
Corporation for Public Broadcasting,1989,228000
Corporation for Public Broadcasting,1990,229391
Corporation for Public Broadcasting,1991,298870
Corporation for Public Broadcasting,1992,327280
Corporation for Public Broadcasting,1993,318636
Corporation for Public Broadcasting,1994,275000
Corporation for Public Broadcasting,1995,286000
Corporation for Public Broadcasting,1996,275000
Corporation for Public Broadcasting,1997,260000
Corporation for Public Broadcasting,1998,250000
Corporation for Public Broadcasting,1999,281000
Corporation for Public Broadcasting,2000,316000
Corporation for Public Broadcasting,2001,360000
Corporation for Public Broadcasting,2002,375000
Corporation for Public Broadcasting,2003,411000
Corporation for Public Broadcasting,2004,437000
Corporation for Public Broadcasting,2005,466000
Corporation for Public Broadcasting,2006,460000
Corporation for Public Broadcasting,2007,465000
Corporation for Public Broadcasting,2008,448000
Corporation for Public Broadcasting,2009,461000
Corporation for Public Broadcasting,2010,506000
Corporation for Public Broadcasting,2011,435000
Corporation for Public Broadcasting,2012,444000
Corporation for Public Broadcasting,2013,422000
Corporation for Public Broadcasting,2014,445000
Corporation for Public Broadcasting,2015,445000
Corporation for Public Broadcasting,2016,485000
Corporation for Public Broadcasting,2017,495000
Corporation for Public Broadcasting,2018,500000
Corporation for Public Broadcasting,2019,497000
Corporation for Public Broadcasting,2020,445000
United States Court of Appeals for Veterans Claims,1976,0
United States Court of Appeals for Veterans Claims,1977,0
United States Court of Appeals for Veterans Claims,1978,0
United States Court of Appeals for Veterans Claims,1979,0
United States Court of Appeals for Veterans Claims,1980,0
United States Court of Appeals for Veterans Claims,1981,0
United States Court of Appeals for Veterans Claims,1982,0
United States Court of Appeals for Veterans Claims,1983,0
United States Court of Appeals for Veterans Claims,1984,0
United States Court of Appeals for Veterans Claims,1985,0
United States Court of Appeals for Veterans Claims,1986,0
United States Court of Appeals for Veterans Claims,1987,0
United States Court of Appeals for Veterans Claims,1988,0
United States Court of Appeals for Veterans Claims,1989,3100
United States Court of Appeals for Veterans Claims,1990,2897
United States Court of Appeals for Veterans Claims,1991,7490
United States Court of Appeals for Veterans Claims,1992,8241
United States Court of Appeals for Veterans Claims,1993,8511
United States Court of Appeals for Veterans Claims,1994,9177
United States Court of Appeals for Veterans Claims,1995,9000
United States Court of Appeals for Veterans Claims,1996,9000
United States Court of Appeals for Veterans Claims,1997,9000
United States Court of Appeals for Veterans Claims,1998,9000
United States Court of Appeals for Veterans Claims,1999,10000
United States Court of Appeals for Veterans Claims,2000,11000
United States Court of Appeals for Veterans Claims,2001,12000
United States Court of Appeals for Veterans Claims,2002,13000
United States Court of Appeals for Veterans Claims,2003,14000
United States Court of Appeals for Veterans Claims,2004,16000
United States Court of Appeals for Veterans Claims,2005,18000
United States Court of Appeals for Veterans Claims,2006,20000
United States Court of Appeals for Veterans Claims,2007,21000
United States Court of Appeals for Veterans Claims,2008,24000
United States Court of Appeals for Veterans Claims,2009,32000
United States Court of Appeals for Veterans Claims,2010,28000
United States Court of Appeals for Veterans Claims,2011,29000
United States Court of Appeals for Veterans Claims,2012,32000
United States Court of Appeals for Veterans Claims,2013,32000
United States Court of Appeals for Veterans Claims,2014,37000
United States Court of Appeals for Veterans Claims,2015,32000
United States Court of Appeals for Veterans Claims,2016,33000
United States Court of Appeals for Veterans Claims,2017,34000
United States Court of Appeals for Veterans Claims,2018,34000
United States Court of Appeals for Veterans Claims,2019,35000
United States Court of Appeals for Veterans Claims,2020,35000
Defense Manpower Commission,1976,0
Defense Manpower Commission,1977,0
Defense Manpower Commission,1978,0
Defense Manpower Commission,1979,0
Defense Manpower Commission,1980,0
Defense Manpower Commission,1981,0
Defense Manpower Commission,1982,0
Defense Manpower Commission,1983,0
Defense Manpower Commission,1984,0
Defense Manpower Commission,1985,0
Defense Manpower Commission,1986,0
Defense Manpower Commission,1987,0
Defense Manpower Commission,1988,0
Defense Manpower Commission,1989,0
Defense Manpower Commission,1990,0
Defense Manpower Commission,1991,0
Defense Manpower Commission,1992,0
Defense Manpower Commission,1993,0
Defense Manpower Commission,1994,0
Defense Manpower Commission,1995,0
Defense Manpower Commission,1996,0
Defense Manpower Commission,1997,0
Defense Manpower Commission,1998,0
Defense Manpower Commission,1999,0
Defense Manpower Commission,2000,0
Defense Manpower Commission,2001,0
Defense Manpower Commission,2002,0
Defense Manpower Commission,2003,0
Defense Manpower Commission,2004,0
Defense Manpower Commission,2005,0
Defense Manpower Commission,2006,0
Defense Manpower Commission,2007,0
Defense Manpower Commission,2008,0
Defense Manpower Commission,2009,0
Defense Manpower Commission,2010,0
Defense Manpower Commission,2011,0
Defense Manpower Commission,2012,0
Defense Manpower Commission,2013,0
Defense Manpower Commission,2014,0
Defense Manpower Commission,2015,0
Defense Manpower Commission,2016,0
Defense Manpower Commission,2017,0
Defense Manpower Commission,2018,0
Defense Manpower Commission,2019,0
Defense Manpower Commission,2020,0
Defense Nuclear Facilities Safety Board,1976,0
Defense Nuclear Facilities Safety Board,1977,0
Defense Nuclear Facilities Safety Board,1978,0
Defense Nuclear Facilities Safety Board,1979,0
Defense Nuclear Facilities Safety Board,1980,0
Defense Nuclear Facilities Safety Board,1981,0
Defense Nuclear Facilities Safety Board,1982,0
Defense Nuclear Facilities Safety Board,1983,0
Defense Nuclear Facilities Safety Board,1984,0
Defense Nuclear Facilities Safety Board,1985,0
Defense Nuclear Facilities Safety Board,1986,0
Defense Nuclear Facilities Safety Board,1987,0
Defense Nuclear Facilities Safety Board,1988,0
Defense Nuclear Facilities Safety Board,1989,2000
Defense Nuclear Facilities Safety Board,1990,6895
Defense Nuclear Facilities Safety Board,1991,11000
Defense Nuclear Facilities Safety Board,1992,11500
Defense Nuclear Facilities Safety Board,1993,13000
Defense Nuclear Facilities Safety Board,1994,16560
Defense Nuclear Facilities Safety Board,1995,18000
Defense Nuclear Facilities Safety Board,1996,17000
Defense Nuclear Facilities Safety Board,1997,16000
Defense Nuclear Facilities Safety Board,1998,17000
Defense Nuclear Facilities Safety Board,1999,17000
Defense Nuclear Facilities Safety Board,2000,17000
Defense Nuclear Facilities Safety Board,2001,18000
Defense Nuclear Facilities Safety Board,2002,18000
Defense Nuclear Facilities Safety Board,2003,19000
Defense Nuclear Facilities Safety Board,2004,20000
Defense Nuclear Facilities Safety Board,2005,20000
Defense Nuclear Facilities Safety Board,2006,22000
Defense Nuclear Facilities Safety Board,2007,22000
Defense Nuclear Facilities Safety Board,2008,22000
Defense Nuclear Facilities Safety Board,2009,25000
Defense Nuclear Facilities Safety Board,2010,26000
Defense Nuclear Facilities Safety Board,2011,23000
Defense Nuclear Facilities Safety Board,2012,29000
Defense Nuclear Facilities Safety Board,2013,27000
Defense Nuclear Facilities Safety Board,2014,28000
Defense Nuclear Facilities Safety Board,2015,29000
Defense Nuclear Facilities Safety Board,2016,29000
Defense Nuclear Facilities Safety Board,2017,30000
Defense Nuclear Facilities Safety Board,2018,30000
Defense Nuclear Facilities Safety Board,2019,30000
Defense Nuclear Facilities Safety Board,2020,31000
Delaware River Basin Commission,1976,377
Delaware River Basin Commission,1977,380
Delaware River Basin Commission,1978,429
Delaware River Basin Commission,1979,453
Delaware River Basin Commission,1980,368
Delaware River Basin Commission,1981,388
Delaware River Basin Commission,1982,389
Delaware River Basin Commission,1983,398
Delaware River Basin Commission,1984,460
Delaware River Basin Commission,1985,457
Delaware River Basin Commission,1986,424
Delaware River Basin Commission,1987,385
Delaware River Basin Commission,1988,466
Delaware River Basin Commission,1989,468
Delaware River Basin Commission,1990,551
Delaware River Basin Commission,1991,720
Delaware River Basin Commission,1992,775
Delaware River Basin Commission,1993,800
Delaware River Basin Commission,1994,821
Delaware River Basin Commission,1995,0
Delaware River Basin Commission,1996,0
Delaware River Basin Commission,1997,0
Delaware River Basin Commission,1998,0
Delaware River Basin Commission,1999,0
Delaware River Basin Commission,2000,0
Delaware River Basin Commission,2001,0
Delaware River Basin Commission,2002,0
Delaware River Basin Commission,2003,0
Delaware River Basin Commission,2004,0
Delaware River Basin Commission,2005,0
Delaware River Basin Commission,2006,0
Delaware River Basin Commission,2007,0
Delaware River Basin Commission,2008,0
Delaware River Basin Commission,2009,0
Delaware River Basin Commission,2010,0
Delaware River Basin Commission,2011,0
Delaware River Basin Commission,2012,0
Delaware River Basin Commission,2013,0
Delaware River Basin Commission,2014,0
Delaware River Basin Commission,2015,0
Delaware River Basin Commission,2016,0
Delaware River Basin Commission,2017,0
Delaware River Basin Commission,2018,0
Delaware River Basin Commission,2019,0
Delaware River Basin Commission,2020,0
District of Columbia,1976,832
District of Columbia,1977,317009
District of Columbia,1978,392968
District of Columbia,1979,293151
District of Columbia,1980,438564
District of Columbia,1981,488791
District of Columbia,1982,448956
District of Columbia,1983,494012
District of Columbia,1984,569668
District of Columbia,1985,236518
District of Columbia,1986,-33738
District of Columbia,1987,287179
District of Columbia,1988,520230
District of Columbia,1989,524335
District of Columbia,1990,515029
District of Columbia,1991,636806
District of Columbia,1992,376272
District of Columbia,1993,527816
District of Columbia,1994,689431
District of Columbia,1995,712000
District of Columbia,1996,700000
District of Columbia,1997,707000
District of Columbia,1998,774000
District of Columbia,1999,-2620000
District of Columbia,2000,511000
District of Columbia,2001,765000
District of Columbia,2002,910000
District of Columbia,2003,467000
District of Columbia,2004,452000
District of Columbia,2005,-930000
District of Columbia,2006,715000
District of Columbia,2007,706000
District of Columbia,2008,741000
District of Columbia,2009,914000
District of Columbia,2010,986000
District of Columbia,2011,961000
District of Columbia,2012,929000
District of Columbia,2013,830000
District of Columbia,2014,894000
District of Columbia,2015,926000
District of Columbia,2016,988000
District of Columbia,2017,979000
District of Columbia,2018,1000000
District of Columbia,2019,1031000
District of Columbia,2020,1055000
Equal Employment Opportunity Commission,1976,0
Equal Employment Opportunity Commission,1977,70513
Equal Employment Opportunity Commission,1978,84550
Equal Employment Opportunity Commission,1979,111417
Equal Employment Opportunity Commission,1980,124562
Equal Employment Opportunity Commission,1981,141200
Equal Employment Opportunity Commission,1982,144739
Equal Employment Opportunity Commission,1983,147421
Equal Employment Opportunity Commission,1984,154039
Equal Employment Opportunity Commission,1985,163655
Equal Employment Opportunity Commission,1986,157905
Equal Employment Opportunity Commission,1987,169529
Equal Employment Opportunity Commission,1988,179812
Equal Employment Opportunity Commission,1989,180712
Equal Employment Opportunity Commission,1990,184926
Equal Employment Opportunity Commission,1991,201927
Equal Employment Opportunity Commission,1992,211271
Equal Employment Opportunity Commission,1993,222000
Equal Employment Opportunity Commission,1994,230000
Equal Employment Opportunity Commission,1995,233000
Equal Employment Opportunity Commission,1996,233000
Equal Employment Opportunity Commission,1997,240000
Equal Employment Opportunity Commission,1998,242000
Equal Employment Opportunity Commission,1999,279000
Equal Employment Opportunity Commission,2000,281000
Equal Employment Opportunity Commission,2001,302000
Equal Employment Opportunity Commission,2002,311000
Equal Employment Opportunity Commission,2003,322000
Equal Employment Opportunity Commission,2004,325000
Equal Employment Opportunity Commission,2005,327000
Equal Employment Opportunity Commission,2006,327000
Equal Employment Opportunity Commission,2007,329000
Equal Employment Opportunity Commission,2008,329000
Equal Employment Opportunity Commission,2009,344000
Equal Employment Opportunity Commission,2010,367000
Equal Employment Opportunity Commission,2011,366000
Equal Employment Opportunity Commission,2012,360000
Equal Employment Opportunity Commission,2013,344000
Equal Employment Opportunity Commission,2014,364000
Equal Employment Opportunity Commission,2015,365000
Equal Employment Opportunity Commission,2016,373000
Equal Employment Opportunity Commission,2017,380000
Equal Employment Opportunity Commission,2018,388000
Equal Employment Opportunity Commission,2019,392000
Equal Employment Opportunity Commission,2020,396000
Export-Import Bank of the United States,1976,0
Export-Import Bank of the United States,1977,0
Export-Import Bank of the United States,1978,0
Export-Import Bank of the United States,1979,104682
Export-Import Bank of the United States,1980,1841822
Export-Import Bank of the United States,1981,6908086
Export-Import Bank of the United States,1982,3268409
Export-Import Bank of the United States,1983,0
Export-Import Bank of the United States,1984,829209
Export-Import Bank of the United States,1985,0
Export-Import Bank of the United States,1986,0
Export-Import Bank of the United States,1987,78129
Export-Import Bank of the United States,1988,7595
Export-Import Bank of the United States,1989,0
Export-Import Bank of the United States,1990,55542
Export-Import Bank of the United States,1991,170000
Export-Import Bank of the United States,1992,126277
Export-Import Bank of the United States,1993,-172005
Export-Import Bank of the United States,1994,-212723
Export-Import Bank of the United States,1995,718000
Export-Import Bank of the United States,1996,815000
Export-Import Bank of the United States,1997,758000
Export-Import Bank of the United States,1998,711000
Export-Import Bank of the United States,1999,777000
Export-Import Bank of the United States,2000,235000
Export-Import Bank of the United States,2001,-1092000
Export-Import Bank of the United States,2002,357000
Export-Import Bank of the United States,2003,-2929000
Export-Import Bank of the United States,2004,-2296000
Export-Import Bank of the United States,2005,-999000
Export-Import Bank of the United States,2006,-2307000
Export-Import Bank of the United States,2007,-1474000
Export-Import Bank of the United States,2008,-603000
Export-Import Bank of the United States,2009,-344000
Export-Import Bank of the United States,2010,636000
Export-Import Bank of the United States,2011,-350000
Export-Import Bank of the United States,2012,-1137000
Export-Import Bank of the United States,2013,-918000
Export-Import Bank of the United States,2014,-210000
Export-Import Bank of the United States,2015,-598000
Export-Import Bank of the United States,2016,-889000
Export-Import Bank of the United States,2017,-900000
Export-Import Bank of the United States,2018,-918000
Export-Import Bank of the United States,2019,-926000
Export-Import Bank of the United States,2020,-935000
Farm Credit System Assistance Board,1976,0
Farm Credit System Assistance Board,1977,0
Farm Credit System Assistance Board,1978,0
Farm Credit System Assistance Board,1979,0
Farm Credit System Assistance Board,1980,0
Farm Credit System Assistance Board,1981,0
Farm Credit System Assistance Board,1982,0
Farm Credit System Assistance Board,1983,0
Farm Credit System Assistance Board,1984,0
Farm Credit System Assistance Board,1985,0
Farm Credit System Assistance Board,1986,0
Farm Credit System Assistance Board,1987,0
Farm Credit System Assistance Board,1988,0
Farm Credit System Assistance Board,1989,0
Farm Credit System Assistance Board,1990,363
Farm Credit System Assistance Board,1991,0
Farm Credit System Assistance Board,1992,0
Farm Credit System Assistance Board,1993,0
Farm Credit System Assistance Board,1994,0
Farm Credit System Assistance Board,1995,0
Farm Credit System Assistance Board,1996,0
Farm Credit System Assistance Board,1997,0
Farm Credit System Assistance Board,1998,0
Farm Credit System Assistance Board,1999,0
Farm Credit System Assistance Board,2000,0
Farm Credit System Assistance Board,2001,0
Farm Credit System Assistance Board,2002,0
Farm Credit System Assistance Board,2003,0
Farm Credit System Assistance Board,2004,0
Farm Credit System Assistance Board,2005,0
Farm Credit System Assistance Board,2006,0
Farm Credit System Assistance Board,2007,0
Farm Credit System Assistance Board,2008,0
Farm Credit System Assistance Board,2009,0
Farm Credit System Assistance Board,2010,0
Farm Credit System Assistance Board,2011,0
Farm Credit System Assistance Board,2012,0
Farm Credit System Assistance Board,2013,0
Farm Credit System Assistance Board,2014,0
Farm Credit System Assistance Board,2015,0
Farm Credit System Assistance Board,2016,0
Farm Credit System Assistance Board,2017,0
Farm Credit System Assistance Board,2018,0
Farm Credit System Assistance Board,2019,0
Farm Credit System Assistance Board,2020,0
Farm Credit System Financial Assistance Corporation,1976,0
Farm Credit System Financial Assistance Corporation,1977,0
Farm Credit System Financial Assistance Corporation,1978,0
Farm Credit System Financial Assistance Corporation,1979,0
Farm Credit System Financial Assistance Corporation,1980,0
Farm Credit System Financial Assistance Corporation,1981,0
Farm Credit System Financial Assistance Corporation,1982,0
Farm Credit System Financial Assistance Corporation,1983,0
Farm Credit System Financial Assistance Corporation,1984,0
Farm Credit System Financial Assistance Corporation,1985,0
Farm Credit System Financial Assistance Corporation,1986,0
Farm Credit System Financial Assistance Corporation,1987,0
Farm Credit System Financial Assistance Corporation,1988,0
Farm Credit System Financial Assistance Corporation,1989,0
Farm Credit System Financial Assistance Corporation,1990,0
Farm Credit System Financial Assistance Corporation,1991,0
Farm Credit System Financial Assistance Corporation,1992,0
Farm Credit System Financial Assistance Corporation,1993,0
Farm Credit System Financial Assistance Corporation,1994,0
Farm Credit System Financial Assistance Corporation,1995,5000
Farm Credit System Financial Assistance Corporation,1996,5000
Farm Credit System Financial Assistance Corporation,1997,6000
Farm Credit System Financial Assistance Corporation,1998,5000
Farm Credit System Financial Assistance Corporation,1999,7000
Farm Credit System Financial Assistance Corporation,2000,7000
Farm Credit System Financial Assistance Corporation,2001,8000
Farm Credit System Financial Assistance Corporation,2002,8000
Farm Credit System Financial Assistance Corporation,2003,339000
Farm Credit System Financial Assistance Corporation,2004,4000
Farm Credit System Financial Assistance Corporation,2005,0
Farm Credit System Financial Assistance Corporation,2006,0
Farm Credit System Financial Assistance Corporation,2007,0
Farm Credit System Financial Assistance Corporation,2008,0
Farm Credit System Financial Assistance Corporation,2009,0
Farm Credit System Financial Assistance Corporation,2010,0
Farm Credit System Financial Assistance Corporation,2011,0
Farm Credit System Financial Assistance Corporation,2012,0
Farm Credit System Financial Assistance Corporation,2013,0
Farm Credit System Financial Assistance Corporation,2014,0
Farm Credit System Financial Assistance Corporation,2015,0
Farm Credit System Financial Assistance Corporation,2016,0
Farm Credit System Financial Assistance Corporation,2017,0
Farm Credit System Financial Assistance Corporation,2018,0
Farm Credit System Financial Assistance Corporation,2019,0
Farm Credit System Financial Assistance Corporation,2020,0
Federal Communications Commission,1976,0
Federal Communications Commission,1977,56911
Federal Communications Commission,1978,64550
Federal Communications Commission,1979,70446
Federal Communications Commission,1980,75992
Federal Communications Commission,1981,80363
Federal Communications Commission,1982,79900
Federal Communications Commission,1983,82917
Federal Communications Commission,1984,130983
Federal Communications Commission,1985,203441
Federal Communications Commission,1986,259341
Federal Communications Commission,1987,340460
Federal Communications Commission,1988,400847
Federal Communications Commission,1989,547775
Federal Communications Commission,1990,729093
Federal Communications Commission,1991,839130
Federal Communications Commission,1992,901691
Federal Communications Commission,1993,966898
Federal Communications Commission,1994,948817
Federal Communications Commission,1995,947000
Federal Communications Commission,1996,961000
Federal Communications Commission,1997,1968000
Federal Communications Commission,1998,7567000
Federal Communications Commission,1999,5163000
Federal Communications Commission,2000,4667000
Federal Communications Commission,2001,4442000
Federal Communications Commission,2002,5555000
Federal Communications Commission,2003,6164000
Federal Communications Commission,2004,7098000
Federal Communications Commission,2005,8463000
Federal Communications Commission,2006,7536000
Federal Communications Commission,2007,7520000
Federal Communications Commission,2008,8359000
Federal Communications Commission,2009,8326000
Federal Communications Commission,2010,8889000
Federal Communications Commission,2011,8720000
Federal Communications Commission,2012,10001000
Federal Communications Commission,2013,9746000
Federal Communications Commission,2014,9731000
Federal Communications Commission,2015,9595000
Federal Communications Commission,2016,10700000
Federal Communications Commission,2017,9793000
Federal Communications Commission,2018,10473000
Federal Communications Commission,2019,10107000
Federal Communications Commission,2020,10050000
Federal Deposit Insurance Corporation,1976,0
Federal Deposit Insurance Corporation,1977,0
Federal Deposit Insurance Corporation,1978,0
Federal Deposit Insurance Corporation,1979,0
Federal Deposit Insurance Corporation,1980,0
Federal Deposit Insurance Corporation,1981,0
Federal Deposit Insurance Corporation,1982,0
Federal Deposit Insurance Corporation,1983,0
Federal Deposit Insurance Corporation,1984,700000
Federal Deposit Insurance Corporation,1985,200000
Federal Deposit Insurance Corporation,1986,3000000
Federal Deposit Insurance Corporation,1987,2699289
Federal Deposit Insurance Corporation,1988,10834710
Federal Deposit Insurance Corporation,1989,32219920
Federal Deposit Insurance Corporation,1990,4117014
Federal Deposit Insurance Corporation,1991,21377452
Federal Deposit Insurance Corporation,1992,11923046
Federal Deposit Insurance Corporation,1993,2428147
Federal Deposit Insurance Corporation,1994,1171000
Federal Deposit Insurance Corporation,1995,827000
Federal Deposit Insurance Corporation,1996,0
Federal Deposit Insurance Corporation,1997,-26000
Federal Deposit Insurance Corporation,1998,-34000
Federal Deposit Insurance Corporation,1999,-1000
Federal Deposit Insurance Corporation,2000,-1000
Federal Deposit Insurance Corporation,2001,-126000
Federal Deposit Insurance Corporation,2002,-5000
Federal Deposit Insurance Corporation,2003,-61000
Federal Deposit Insurance Corporation,2004,0
Federal Deposit Insurance Corporation,2005,422000
Federal Deposit Insurance Corporation,2006,400000
Federal Deposit Insurance Corporation,2007,405000
Federal Deposit Insurance Corporation,2008,112000
Federal Deposit Insurance Corporation,2009,173000
Federal Deposit Insurance Corporation,2010,27000
Federal Deposit Insurance Corporation,2011,0
Federal Deposit Insurance Corporation,2012,50000
Federal Deposit Insurance Corporation,2013,182000
Federal Deposit Insurance Corporation,2014,0
Federal Deposit Insurance Corporation,2015,1080000
Federal Deposit Insurance Corporation,2016,1751000
Federal Deposit Insurance Corporation,2017,2853000
Federal Deposit Insurance Corporation,2018,4028000
Federal Deposit Insurance Corporation,2019,5275000
Federal Deposit Insurance Corporation,2020,6590000
Federal Election Commission,1976,0
Federal Election Commission,1977,6180
Federal Election Commission,1978,7610
Federal Election Commission,1979,8293
Federal Election Commission,1980,8946
Federal Election Commission,1981,9662
Federal Election Commission,1982,9174
Federal Election Commission,1983,9897
Federal Election Commission,1984,10744
Federal Election Commission,1985,13016
Federal Election Commission,1986,11898
Federal Election Commission,1987,12883
Federal Election Commission,1988,14174
Federal Election Commission,1989,15933
Federal Election Commission,1990,15330
Federal Election Commission,1991,17150
Federal Election Commission,1992,18808
Federal Election Commission,1993,21143
Federal Election Commission,1994,23564
Federal Election Commission,1995,26000
Federal Election Commission,1996,26000
Federal Election Commission,1997,28000
Federal Election Commission,1998,29000
Federal Election Commission,1999,37000
Federal Election Commission,2000,38000
Federal Election Commission,2001,40000
Federal Election Commission,2002,44000
Federal Election Commission,2003,50000
Federal Election Commission,2004,50000
Federal Election Commission,2005,52000
Federal Election Commission,2006,54000
Federal Election Commission,2007,55000
Federal Election Commission,2008,59000
Federal Election Commission,2009,64000
Federal Election Commission,2010,67000
Federal Election Commission,2011,65000
Federal Election Commission,2012,66000
Federal Election Commission,2013,63000
Federal Election Commission,2014,66000
Federal Election Commission,2015,68000
Federal Election Commission,2016,76000
Federal Election Commission,2017,78000
Federal Election Commission,2018,79000
Federal Election Commission,2019,80000
Federal Election Commission,2020,81000
Federal Financial Institutions Examination Council,1976,0
Federal Financial Institutions Examination Council,1977,0
Federal Financial Institutions Examination Council,1978,0
Federal Financial Institutions Examination Council,1979,0
Federal Financial Institutions Examination Council,1980,0
Federal Financial Institutions Examination Council,1981,0
Federal Financial Institutions Examination Council,1982,0
Federal Financial Institutions Examination Council,1983,0
Federal Financial Institutions Examination Council,1984,0
Federal Financial Institutions Examination Council,1985,0
Federal Financial Institutions Examination Council,1986,0
Federal Financial Institutions Examination Council,1987,0
Federal Financial Institutions Examination Council,1988,0
Federal Financial Institutions Examination Council,1989,0
Federal Financial Institutions Examination Council,1990,5000
Federal Financial Institutions Examination Council,1991,0
Federal Financial Institutions Examination Council,1992,0
Federal Financial Institutions Examination Council,1993,0
Federal Financial Institutions Examination Council,1994,4249
Federal Financial Institutions Examination Council,1995,4000
Federal Financial Institutions Examination Council,1996,2000
Federal Financial Institutions Examination Council,1997,2000
Federal Financial Institutions Examination Council,1998,3000
Federal Financial Institutions Examination Council,1999,2000
Federal Financial Institutions Examination Council,2000,2000
Federal Financial Institutions Examination Council,2001,2000
Federal Financial Institutions Examination Council,2002,2000
Federal Financial Institutions Examination Council,2003,2000
Federal Financial Institutions Examination Council,2004,3000
Federal Financial Institutions Examination Council,2005,3000
Federal Financial Institutions Examination Council,2006,2000
Federal Financial Institutions Examination Council,2007,3000
Federal Financial Institutions Examination Council,2008,3000
Federal Financial Institutions Examination Council,2009,3000
Federal Financial Institutions Examination Council,2010,3000
Federal Financial Institutions Examination Council,2011,3000
Federal Financial Institutions Examination Council,2012,3000
Federal Financial Institutions Examination Council,2013,2000
Federal Financial Institutions Examination Council,2014,4000
Federal Financial Institutions Examination Council,2015,4000
Federal Financial Institutions Examination Council,2016,4000
Federal Financial Institutions Examination Council,2017,3000
Federal Financial Institutions Examination Council,2018,3000
Federal Financial Institutions Examination Council,2019,3000
Federal Financial Institutions Examination Council,2020,3000
Federal Housing Finance Board,1976,0
Federal Housing Finance Board,1977,0
Federal Housing Finance Board,1978,0
Federal Housing Finance Board,1979,0
Federal Housing Finance Board,1980,0
Federal Housing Finance Board,1981,0
Federal Housing Finance Board,1982,0
Federal Housing Finance Board,1983,0
Federal Housing Finance Board,1984,0
Federal Housing Finance Board,1985,0
Federal Housing Finance Board,1986,0
Federal Housing Finance Board,1987,0
Federal Housing Finance Board,1988,0
Federal Housing Finance Board,1989,0
Federal Housing Finance Board,1990,0
Federal Housing Finance Board,1991,0
Federal Housing Finance Board,1992,0
Federal Housing Finance Board,1993,0
Federal Housing Finance Board,1994,0
Federal Housing Finance Board,1995,0
Federal Housing Finance Board,1996,0
Federal Housing Finance Board,1997,0
Federal Housing Finance Board,1998,0
Federal Housing Finance Board,1999,0
Federal Housing Finance Board,2000,0
Federal Housing Finance Board,2001,0
Federal Housing Finance Board,2002,0
Federal Housing Finance Board,2003,0
Federal Housing Finance Board,2004,0
Federal Housing Finance Board,2005,0
Federal Housing Finance Board,2006,0
Federal Housing Finance Board,2007,0
Federal Housing Finance Board,2008,0
Federal Housing Finance Board,2009,21000
Federal Housing Finance Board,2010,0
Federal Housing Finance Board,2011,0
Federal Housing Finance Board,2012,0
Federal Housing Finance Board,2013,0
Federal Housing Finance Board,2014,0
Federal Housing Finance Board,2015,0
Federal Housing Finance Board,2016,0
Federal Housing Finance Board,2017,0
Federal Housing Finance Board,2018,0
Federal Housing Finance Board,2019,0
Federal Housing Finance Board,2020,0
Federal Labor Relations Authority,1976,0
Federal Labor Relations Authority,1977,1637
Federal Labor Relations Authority,1978,8452
Federal Labor Relations Authority,1979,10259
Federal Labor Relations Authority,1980,12632
Federal Labor Relations Authority,1981,16022
Federal Labor Relations Authority,1982,14848
Federal Labor Relations Authority,1983,15500
Federal Labor Relations Authority,1984,16863
Federal Labor Relations Authority,1985,17364
Federal Labor Relations Authority,1986,16330
Federal Labor Relations Authority,1987,16550
Federal Labor Relations Authority,1988,17576
Federal Labor Relations Authority,1989,17540
Federal Labor Relations Authority,1990,17590
Federal Labor Relations Authority,1991,18693
Federal Labor Relations Authority,1992,20769
Federal Labor Relations Authority,1993,21647
Federal Labor Relations Authority,1994,21341
Federal Labor Relations Authority,1995,21000
Federal Labor Relations Authority,1996,21000
Federal Labor Relations Authority,1997,22000
Federal Labor Relations Authority,1998,22000
Federal Labor Relations Authority,1999,23000
Federal Labor Relations Authority,2000,24000
Federal Labor Relations Authority,2001,25000
Federal Labor Relations Authority,2002,27000
Federal Labor Relations Authority,2003,29000
Federal Labor Relations Authority,2004,29000
Federal Labor Relations Authority,2005,25000
Federal Labor Relations Authority,2006,25000
Federal Labor Relations Authority,2007,25000
Federal Labor Relations Authority,2008,24000
Federal Labor Relations Authority,2009,24000
Federal Labor Relations Authority,2010,25000
Federal Labor Relations Authority,2011,25000
Federal Labor Relations Authority,2012,25000
Federal Labor Relations Authority,2013,24000
Federal Labor Relations Authority,2014,26000
Federal Labor Relations Authority,2015,26000
Federal Labor Relations Authority,2016,27000
Federal Labor Relations Authority,2017,28000
Federal Labor Relations Authority,2018,28000
Federal Labor Relations Authority,2019,28000
Federal Labor Relations Authority,2020,29000
Federal Maritime Commission,1976,0
Federal Maritime Commission,1977,8640
Federal Maritime Commission,1978,9724
Federal Maritime Commission,1979,10750
Federal Maritime Commission,1980,11300
Federal Maritime Commission,1981,12100
Federal Maritime Commission,1982,11498
Federal Maritime Commission,1983,11770
Federal Maritime Commission,1984,10946
Federal Maritime Commission,1985,12292
Federal Maritime Commission,1986,11360
