word,date,freq
^ay,1503,1.91E-09
^ay,1504,2.44E-09
^ay,1506,3.78E-09
^ay,1507,4.51E-09
^ay,1508,1.95E-09
^ay,1509,5.88E-10
^ay,1510,1.66E-09
^ay,1511,2.31E-09
^ay,1513,0
^ay,1514,1.52E-10
^ay,1515,9.28E-09
^ay,1516,8.70E-10
^ay,1517,8.46E-10
^ay,1518,4.76E-10
^ay,1519,3.85E-10
^ay,1520,1.22E-09
^ay,1521,2.45E-09
^ay,1523,2.04E-09
^ay,1524,7.61E-10
^ay,1525,1.88E-09
^ay,1526,6.73E-10
^ay,1527,1.20E-09
^ay,1528,3.80E-10
^ay,1529,6.58E-10
^ay,1530,6.28E-10
^ay,1531,7.65E-10
^ay,1532,1.08E-09
^ay,1533,7.52E-10
^ay,1534,4.30E-10
^ay,1535,3.04E-10
^ay,1536,4.85E-10
^ay,1537,1.11E-09
^ay,1538,6.17E-10
^ay,1539,1.60E-09
^ay,1540,4.55E-10
^ay,1541,1.92E-10
^ay,1542,2.25E-09
^ay,1543,9.26E-10
^ay,1544,2.92E-10
^ay,1545,2.45E-09
^ay,1546,2.75E-10
^ay,1547,4.70E-10
^ay,1548,6.34E-10
^ay,1549,6.40E-10
^ay,1550,1.35E-09
^ay,1551,4.62E-10
^ay,1552,8.52E-10
^ay,1553,8.02E-10
^ay,1554,2.02E-09
^ay,1555,1.47E-09
^ay,1556,3.35E-10
^ay,1557,9.66E-10
^ay,1558,5.07E-10
^ay,1559,1.08E-09
^ay,1560,1.41E-09
^ay,1561,2.84E-10
^ay,1562,7.26E-10
^ay,1563,4.43E-10
^ay,1564,3.82E-10
^ay,1565,6.36E-10
^ay,1566,3.16E-10
^ay,1567,6.90E-10
^ay,1568,4.88E-10
^ay,1569,8.95E-10
^ay,1570,6.19E-10
^ay,1571,4.68E-10
^ay,1572,6.25E-10
^ay,1573,4.15E-10
^ay,1574,5.37E-10
^ay,1575,5.57E-10
^ay,1576,7.34E-10
^ay,1577,8.06E-10
^ay,1578,5.66E-10
^ay,1579,4.98E-10
^ay,1580,4.03E-10
^ay,1581,2.08E-10
^ay,1582,5.21E-10
^ay,1583,2.28E-10
^ay,1584,3.04E-10
^ay,1585,3.82E-10
^ay,1586,1.71E-10
^ay,1587,2.18E-10
^ay,1588,4.80E-10
^ay,1589,1.91E-10
^ay,1590,1.51E-09
^ay,1591,2.85E-10
^ay,1592,4.57E-10
^ay,1593,1.96E-10
^ay,1594,4.03E-10
^ay,1595,4.76E-10
^ay,1596,8.35E-10
^ay,1597,8.24E-10
^ay,1598,5.45E-10
^ay,1599,5.62E-10
^ay,1600,2.83E-10
^ay,1601,4.75E-10
^ay,1602,3.18E-10
^ay,1603,3.69E-10
^ay,1604,1.11E-10
^ay,1605,7.07E-10
^ay,1606,2.41E-10
^ay,1607,2.77E-10
^ay,1608,4.10E-10
^ay,1609,3.20E-10
^ay,1610,4.21E-10
^ay,1611,1.72E-10
^ay,1612,4.27E-10
^ay,1613,3.12E-10
^ay,1614,3.85E-10
^ay,1615,1.03E-09
^ay,1616,4.15E-10
^ay,1617,2.39E-10
^ay,1618,3.04E-10
^ay,1619,3.08E-10
^ay,1620,3.49E-10
^ay,1621,4.38E-10
^ay,1622,7.38E-10
^ay,1623,6.53E-10
^ay,1624,2.75E-10
^ay,1625,3.99E-10
^ay,1626,2.75E-10
^ay,1627,1.83E-10
^ay,1628,7.51E-10
^ay,1629,3.04E-10
^ay,1630,1.74E-10
^ay,1631,3.48E-10
