word,date,matches,freq
A,1505,20,0.00062385
A,1507,29,0.000584842
A,1515,372,0.001287148
A,1520,29,0.000560029
A,1524,408,0.001420727
A,1525,6,0.001685867
A,1527,1,0.000228571
A,1541,7,0.001327769
A,1563,129,0.000603246
A,1564,49,0.000692531
A,1568,76,0.000496424
A,1572,117,0.000659214
A,1574,56,0.000899815
A,1575,342,0.001831757
A,1579,94,0.000462885
A,1581,423,0.000597071
A,1582,102,0.000675497
A,1584,154,0.001013658
A,1587,60,0.000241584
A,1588,22,0.000529508
A,1589,96,0.002645357
A,1590,145,0.000256673
A,1592,88,0.000907638
A,1593,69,0.001725129
A,1594,2,0.000180083
A,1595,48,0.001425856
A,1597,10,0.000915499
A,1598,65,0.000764247
A,1600,923,0.002277859
A,1602,4,0.001215067
A,1603,50,0.000724113
A,1605,4,0.000275995
A,1606,14,0.000222501
A,1607,396,0.001037293
A,1610,5,0.000798977
A,1611,26,0.000523761
A,1612,15,0.000283565
A,1614,4,0.000455737
A,1618,20,0.000991768
A,1619,24,0.000434846
A,1620,306,0.00133593
A,1621,15,0.000233656
A,1623,43,0.000357015
A,1624,92,0.000632433
A,1625,78,0.001125606
A,1626,19,0.000453569
A,1628,12,0.001867704
A,1629,135,0.000467495
A,1630,68,0.000445703
A,1631,195,0.000410995
A,1632,39,0.000905629
A,1634,62,0.000438541
A,1635,141,0.000576279
A,1636,33,0.00104055
A,1637,284,0.000416594
A,1638,137,0.000561609
A,1640,109,0.001800165
A,1641,19,0.00041853
A,1642,102,0.00074265
A,1643,479,0.002698759
A,1644,643,0.000631523
A,1645,197,0.000779537
A,1646,14,0.000252152
A,1647,96,0.000307426
A,1648,228,0.000496759
A,1649,142,0.000544088
A,1650,122,0.000632714
A,1651,205,0.000379097
A,1652,80,0.000474237
A,1653,172,0.000453087
A,1654,26,0.000712407
A,1655,113,0.00040228
A,1656,572,0.000830552
A,1657,144,0.000463838
A,1658,647,0.000775167
A,1659,138,0.000253837
A,1660,69,0.00052891
A,1661,69,0.00053561
A,1662,140,0.000583912
A,1663,135,0.000646707
A,1664,172,0.000591588
A,1665,270,0.001001454
A,1666,51,0.000625276
A,1667,457,0.000608346
A,1668,513,0.000481436
A,1669,170,0.000495887
A,1670,318,0.000433034
A,1671,123,0.000820815
A,1672,337,0.000791084
A,1673,589,0.000629827
A,1674,33,0.000260659
A,1675,722,0.000439131
A,1676,911,0.000505657
A,1677,587,0.00073445
A,1678,831,0.000422499
A,1679,625,0.000562039
A,1680,1059,0.000962855
A,1681,2007,0.000767623
A,1682,1894,0.000516365
A,1683,2204,0.00052785
A,1684,736,0.000431008
A,1685,1457,0.000619933
A,1686,504,0.000398899
A,1687,808,0.000681437
A,1688,1753,0.000687917
A,1689,835,0.000849832
A,1690,558,0.000613645
A,1691,157,0.000487782
A,1692,1378,0.00082274
A,1693,712,0.00068566
A,1694,1430,0.000707727
A,1695,814,0.000665179
A,1696,560,0.000674883
A,1697,445,0.000469452
A,1698,1495,0.000479813
A,1699,1533,0.000541568
A,1700,2228,0.000598269
A,1701,2482,0.000625282
A,1702,3084,0.000619141
A,1703,2891,0.000694804
A,1704,2678,0.000546894
A,1705,2602,0.000530074
A,1706,4012,0.000597225
A,1707,2985,0.000557847
A,1708,3653,0.000563634
A,1709,2456,0.000732196
A,1710,4154,0.000597918
A,1711,3339,0.00049561
A,1712,2075,0.000542841
A,1713,3325,0.000704353
A,1714,4514,0.000581362
A,1715,4568,0.000715839
A,1716,3011,0.000595062
A,1717,4777,0.000689099
A,1718,4053,0.000781742
A,1719,4374,0.000882263
A,1720,5274,0.000566665
A,1721,4234,0.000605562
A,1722,5577,0.000533065
A,1723,5833,0.000762476
A,1724,5752,0.000676333
A,1725,8173,0.000768539
A,1726,7968,0.00079286
A,1727,7383,0.000569605
A,1728,9789,0.00087375
A,1729,8514,0.000692719
A,1730,8077,0.000665228
A,1731,7960,0.000615161
A,1732,6037,0.000592332
A,1733,3200,0.000558543
A,1734,7152,0.000710261
A,1735,6954,0.000765986
A,1736,5036,0.000625608
A,1737,7740,0.000583973
A,1738,8731,0.000636752
A,1739,7252,0.000630254
A,1740,5993,0.000527925
A,1741,4362,0.000542762
A,1742,8203,0.000714485
A,1743,6274,0.000661758
A,1744,11430,0.000816461
A,1745,9566,0.001067148
A,1746,4371,0.000608904
A,1747,14194,0.000894838
A,1748,9195,0.000599925
A,1749,7657,0.000605215
A,1750,11973,0.000621895
A,1751,12172,0.00060406
A,1752,7683,0.000535739
A,1753,10428,0.000545943
A,1754,14723,0.000721428
A,1755,12298,0.000606288
A,1756,5956,0.000681887
A,1757,7392,0.000538886
A,1758,8939,0.000526619
A,1759,12392,0.000582454
A,1760,10118,0.000692048
A,1761,11549,0.000651712
A,1762,8844,0.000780238
A,1763,12670,0.000630245
A,1764,14989,0.000802389
A,1765,10540,0.000673184
A,1766,21069,0.000785215
A,1767,13801,0.000691139
A,1768,17222,0.000635113
A,1769,12528,0.000675401
A,1770,15943,0.000727776
A,1771,13348,0.000666529
A,1772,14321,0.000712937
A,1773,14917,0.000793072
A,1774,15006,0.000774459
A,1775,20162,0.00079953
A,1776,20646,0.000771335
A,1777,15824,0.000702309
A,1778,15224,0.000731147
A,1779,14461,0.000788294
A,1780,13541,0.000702182
A,1781,16313,0.000757521
A,1782,17508,0.000814114
A,1783,17344,0.000825833
A,1784,20404,0.000763182
A,1785,20089,0.00076025
A,1786,21403,0.000772617
A,1787,26553,0.000645309
A,1788,31525,0.000732959
A,1789,28484,0.000749756
A,1790,25571,0.000633524
A,1791,28700,0.00064572
A,1792,30381,0.000642236
A,1793,29162,0.000700531
A,1794,33956,0.000698204
A,1795,29636,0.000642452
A,1796,39632,0.000707618
A,1797,32959,0.000700539
A,1798,33075,0.000714186
A,1799,35905,0.000714385
A,1800,49428,0.000698289
A,1801,71543,0.000666818
A,1802,68546,0.00071602
A,1803,76324,0.000732664
A,1804,75978,0.00066617
A,1805,79285,0.000687461
A,1806,77727,0.000657425
A,1807,94235,0.000731043
A,1808,82535,0.000634943
A,1809,88091,0.000638748
A,1810,94297,0.000624644
A,1811,118366,0.000667533
A,1812,105713,0.000612691
A,1813,101907,0.000704455
A,1814,104292,0.000619158
A,1815,98754,0.000631748
A,1816,105223,0.000651286
A,1817,115655,0.000633997
A,1818,130684,0.000639208
A,1819,121634,0.000698417
A,1820,143745,0.000621525
A,1821,121424,0.000668351
A,1822,184202,0.000679178
A,1823,159296,0.000626343
A,1824,202044,0.000653361
A,1825,202500,0.000635391
A,1826,153444,0.000629491
A,1827,163795,0.000645681
A,1828,172941,0.000631912
A,1829,178907,0.000608909
A,1830,205514,0.000600253
A,1831,204455,0.000652402
A,1832,203729,0.000648437
A,1833,204443,0.000658556
A,1834,198194,0.000657614
A,1835,235014,0.000661097
A,1836,244863,0.000669057
A,1837,220485,0.000653317
A,1838,245892,0.0006857
A,1839,260951,0.000630504
A,1840,266216,0.00062801
A,1841,244894,0.000632333
A,1842,233545,0.000670343
A,1843,268432,0.000664216
A,1844,273998,0.000653448
A,1845,309641,0.000677721
A,1846,319691,0.000695666
A,1847,305531,0.000688337
A,1848,324718,0.000696619
A,1849,340842,0.000721641
A,1850,370369,0.00073465
A,1851,385833,0.000717554
A,1852,418028,0.000748191
A,1853,461958,0.000738944
A,1854,499687,0.000731007
A,1855,456589,0.000753747
A,1856,501948,0.000769404
A,1857,438252,0.000770906
A,1858,404573,0.000746653
A,1859,456752,0.000776336
A,1860,481312,0.000791694
A,1861,363264,0.000784265
A,1862,305070,0.000768749
A,1863,338492,0.000809214
A,1864,384884,0.000780445
A,1865,407700,0.000810501
A,1866,436447,0.000796062
A,1867,420201,0.000810224
A,1868,444533,0.000811799
A,1869,461971,0.000827473
A,1870,453227,0.000825744
A,1871,453721,0.000809725
A,1872,470114,0.000829681
A,1873,514014,0.000880189
A,1874,537340,0.000843988
A,1875,550496,0.000854975
A,1876,578124,0.000854177
A,1877,563123,0.000843349
A,1878,565467,0.00089842
A,1879,582417,0.000889935
A,1880,693372,0.000884151
A,1881,714282,0.000905008
A,1882,749700,0.000904886
